Stock #,Availability,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,Lab,Certificate #,Treatment,PriceCarat,FancyColor,Fancy Color Intensity,Fancy Color Overtone,Depth %,Table %,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Laser Inscription,Comment,Country,State,City,Is Matched Pair Separable,Pair Stock #,Allow RapLink Feed,Parcel Stones,Certificate Filename,Diamond Image,3D File,Trade Show,Member Comment,alibabaPrice,ExportToAlibaba
242-7A,G,RBC,1.00,D,VVS2,G,EX,G,N,N,6.16*6.06*4.03,GIA,6352274979,,4964.400,,,,66.00,60.00,STK to VTK,,7.00,Faceted,NON,,15.50,37.00,43.50,41.00,GIA 6352274979,Additional pinpoints are not shown.,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
240-305A,G,RBC,0.19,E,VS1,EX,EX,EX,N,N,3.68*3.65*2.28,GIA,6352569869,,1202.800,,,,62.30,59.00,MED to STK,,4.00,Faceted,NON,,15.00,36.00,43.50,41.00,GIA 6352569869 ,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
234-151A,G,RBC,0.70,M,VVS2,EX,EX,EX,N,N,5.81*5.78*3.41,GIA,2348766676,,1144.000,,,,58.90,61.00,MED to STK,,3.50,Faceted,NONE,,12.50,33.00,43.00,40.80,GIA 2348766676,,INDIA,,MUMBAI,,,,,,,,,"GIA Color Is:-N, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
239-2A,G,PB,0.70,H,SI1,VG,EX,G,M,BLUE,8.09*4.68*3.03,GIA,1357603271,,1476.100,,,,64.80,54.00,MED to ETK,,,Faceted,NON,,,,,,GIA 1357603271,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
239-36D,G,PB,0.40,F,SI1,VG,EX,G,F,N,6.48*4.09*2.51,GIA,3355588964,,1020.000,,,,61.40,56.00,STK to ETK,,,Faceted,NON,,,,,,GIA 3355588964,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
205-297A,G,PB,0.30,F,SI2,VG,VG,F,N,N,6.00*3.84*2.28,GIA,6345851108,,607.750,,,,59.20,56.00,MED to THK,,,Faceted,NONE,,,,,,GIA 6345851108,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
238-261A,G,EM,0.38,E,VS1,EX,EX,VG,S,BLUE,4.58*3.47*2.37,GIA,1358120596,,756.500,,,,68.40,62.00,STK to THK,,,Faceted,NONE,,,,,,GIA 1358120596,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
238-128A,G,RBC,0.32,D,VVS1,EX,EX,EX,S,BLUE,4.38*4.36*2.73,GIA,6355516078,,1470.000,,,,62.50,57.00,MED to STK,,3.50,Faceted,NON,,16.00,36.00,43.50,41.00,GIA 6355516078 ,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
212-60D,G,OV,0.30,H,SI2,VG,VG,G,F,N,5.27*3.73*2.35,GIA,3345484660,,682.000,,,,62.80,56.00,MED to VTK,,,Faceted,NONE,,,,,,GIA 3345484660,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
235-84A,G,RBC,0.70,M,VS1,EX,EX,VG,S,BLUE,5.66*5.59*3.56,GIA,5353143615,,861.000,,,,63.30,55.00,THN to STK,,3.50,Faceted,NONE,,16.50,36.50,43.00,40.60,GIA 5353143615,,INDIA,,MUMBAI,,,,,,,,,"GIA Color Is:-O, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
203-1A,G,CU,10.08,H,VVS2,,EX,VG,N,N,12.87*12.02*8.39,HRD,190000165370,,20500.000,,,,63.00,69.80,,,,,,,,,,,,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
1219-1,G,RBC,0.96,H,I1,EX,EX,VG,F,N,6.35*6.31*3.87,GIA,1349252180,,2287.500,,,,61.10,58.00,,,,,,,15.00,,42.50,,,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
244-98A,G,EM,0.30,E,VS1,VG,EX,G,N,N,4.52*3.19*2.16,GIA,2356516669,,994.500,,,,67.70,62.00,MED to STK,,,,NON,,,,,,GIA 2356516669 ,,INDIA,,NEW YORK,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
241-88A,G,RBC,0.80,M,VS2,EX,EX,EX,N,N,5.94*5.92*3.71,GIA,2357098245,,1110.000,,,,62.50,55.00,MED to STK,,3.50,Faceted,NONE,,16.00,36.00,43.00,40.60,GIA 2357098245,,INDIA,,MUMBAI,,,,,,,,,"GIA Color Is:-Q, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
235-81B,G,OV,0.30,I,VVS2,EX,EX,VG,S,BLUE,5.36*3.77*2.25,GIA,1353346124,,728.000,,,,59.60,59.00,THK to VTK,,,Faceted,NON,,,,,,GIA 1353346124,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
225-121A,G,OV,0.50,H,SI2,VG,EX,VG,N,N,6.07*4.57*2.81,GIA,2344985767,,1053.000,,,,61.50,59.00,THK to VTK,,,Faceted,NONE,,,,,,GIA 2344985767,,INDIA,,NEW YORK,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
239-108B,G,EM,0.40,H,SI2,EX,EX,VG,F,N,4.94*3.65*2.38,GIA,1358144760,,598.000,,,,65.20,64.00,MED to THK,,,Faceted,NONE,,,,,,GIA 1358144760,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
245-15A,G,RBC,1.07,H,VS1,EX,EX,EX,F,N,6.55*6.50*4.07,GIA,2357448013,,4458.500,,,,62.30,60.00,STK,,4.00,Faceted,NON,,14.00,34.50,44.50,41.60,GIA 2357448013 ,Clouds are not shown. Pinpoints are not shown.,INDIA,,NEW YORK,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
220-41A,G,OV,0.30,F,SI2,EX,EX,VG,N,N,5.19*3.87*2.36,GIA,7343719633,,801.450,,,,60.90,60.00,THN to STK,,,Faceted,NONE,,,,,,GIA 7343719633,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
212-83A,G,RBC,0.96,G,SI2,VG,EX,VG,F,N,6.24*6.31*3.78,IGI,407973580,,1705.000,,,,60.20,63.00,Slightly Thick To Thick (Faceted) ,,4.80,Faceted,Pointed,,12.50,34.30,42.50,40.40,,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
230-701A,G,RBC,0.23,F,IF,EX,EX,EX,N,N,4.01*4.00*2.39,GIA,3345766492,,1604.250,,,,59.50,59.00,THN to MED,,3.00,Faceted,NONE,,13.50,33.00,43.00,40.80,GIA 3345766492,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
243-3E,G,RBC,0.32,I,VVS2,EX,EX,EX,N,N,4.38*4.36*2.72,GIA,2356516431,,1071.410,,,,62.20,59.00,STK,,4.00,Faceted,NON,,14.00,34.00,44.50,41.60,GIA 2356516431 ,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
229-142A,G,OV,0.33,L,VS1,VG,EX,VG,F,N,5.47*3.86*2.35,GIA,6351097491,,442.000,,,,61.00,58.00,MED to THK,,,Faceted,NONE,,,,,,GIA 6351097491,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
246-28A,G,RBC,1.00,I,SI2,G,EX,VG,M,BLUE,6.14*6.06*4.04,GIA,7356447889,,2229.500,,,,66.10,57.00,MED to VTK,,7.50,Faceted,NON,,17.50,39.50,41.50,39.80,GIA 7356447889,Additional clouds are not shown. Pinpoints are not shown.,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
236-100A,G,RBC,0.30,I,SI2,EX,EX,EX,F,N,4.29*4.26*2.70,GIA,1353516533,,754.600,,,,63.10,58.00,THN to STK,,4.00,Faceted,NON,,14.50,34.50,44.50,41.80,GIA 1353516533 ,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
225-49A,G,RBC,0.35,G,SI2,EX,EX,VG,N,N,4.53*4.50*2.81,GIA,2357258503,,844.050,,,,62.30,56.00,MED to STK,,3.50,Faceted,NON,,15.50,35.00,43.50,41.00,GIA 2357258503 ,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
229-130A,G,OV,0.30,E,SI2,G,EX,G,N,N,5.06*3.57*2.37,GIA,5353014162,,749.000,,,,66.50,55.00,THK to ETK,,,Faceted,NONE,,,,,,GIA 5353014162,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
243-11A,G,RBC,1.70,F,SI2,EX,EX,EX,N,N,7.71*7.67*4.68,GIA,2357523045,,5050.500,,,,60.90,58.00,MED to STK,,4.00,Faceted,NON,,13.50,32.50,43.50,41.20,GIA 2357523045 ,Pinpoints are not shown. Clouds are not shown.,INDIA,,NEW YORK,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
237-152A,M,RBC,0.30,K,VVS2,EX,EX,EX,N,N,4.30*4.27*2.70,GIA,2356589026,,780.000,,,,63.00,58.00,MED to STK,,4.00,Faceted,NON,,14.50,34.50,44.50,41.80,GIA 2356589026,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
244-87A,G,MQ,0.31,F,VS2,EX,EX,VG,N,N,7.46*3.51*2.00,GIA,1355516258,,990.000,,,,57.10,55.00,ETN to THK,,,Faceted,NON,,,,,,GIA 1355516258 ,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
240-881A,G,RBC,0.23,D,VVS1,EX,EX,EX,N,N,3.93*3.91*2.46,GIA,6351632458,,1686.700,,,,62.80,56.00,MED to STK,,3.50,Faceted,NON,,16.00,36.00,43.50,41.00,GIA 6351632458,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
238-119A,G,RBC,0.33,I,VVS2,EX,EX,EX,S,BLUE,4.44*4.41*2.75,GIA,6352517662,,929.100,,,,62.10,56.00,MED to STK,,4.00,Faceted,NON,,15.50,34.50,43.00,40.80,GIA 6352517662 ,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
228-106A,G,OV,0.50,G,SI2,G,EX,G,N,N,5.75*4.41*2.73,GIA,2346977005,,1021.250,,,,62.00,49.00,STK to ETK,,,Faceted,NONE,,,,,,GIA 2346977005,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
244-86D,G,MQ,0.30,E,VS2,VG,EX,G,N,N,6.40*3.64*2.18,GIA,6351570014,,968.000,,,,59.90,60.00,MED to THK,,,Faceted,NON,,,,,,GIA 6351570014 ,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
244-99A,G,EM,0.41,F,SI1,EX,EX,EX,N,N,5.42*3.39*2.32,GIA,6352557872,,884.000,,,,68.40,62.00,MED to THK,,,,NON,,,,,,GIA 6352557872 ,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
227-34A,G,PB,1.21,L,SI2,VG,EX,VG,N,N,9.90*5.96*3.38,GIA,2346874090,,1328.250,"L,FB",,,56.80,61.00,MED to THK,,,Faceted,NONE,,,,,,GIA 2346874090,Internal graining is not shown.,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
246-14A,G,PR,1.01,I,SI2,EX,EX,VG,N,N,5.39*5.36*3.90,GIA,6355518792,,1824.000,,,,72.80,72.00,VTN to VTK,,,,NON,,,,,,GIA 6355518792,"Additional twinning wisps, additional clouds, pinpoints and surface graining are not shown.",INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
1219-4,G,RBC,1.00,I,I1,G,VG,G,F,N,6.29*6.16*4.01,GIA,2348255500,,1996.500,,,,64.40,60.00,,,,,,,14.50,,44.00,,,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
232-182A,G,OV,0.33,K,VS2,EX,EX,VG,N,N,5.34*3.96*2.38,GIA,6351516557,,571.500,,,,60.00,59.00,THK to VTK,,,Faceted,NON,,,,,,GIA 6351516557 ,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
209-171A,G,RBC,1.20,J,SI2,EX,EX,EX,N,N,6.75*6.80*4.21,IGI,414079632,,2317.500,,,,62.20,57.50,Thin To Medium (Faceted) ,,3.40,,Pointed,,15.50,36.20,43.00,40.90,,IDEAL CUT ROUND BRILLIANT,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
238-37A,G,RBC,0.30,E,IF,EX,EX,EX,M,BLUE,4.34*4.31*2.70,GIA,6355515753,,1481.200,,,,62.40,56.00,THN to MED,,3.00,Faceted,NON,,16.50,36.50,43.00,41.00,GIA 6355515753 ,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
196-18A,M,CU,1.32,M,SI2,EX,VG,VG,N,N,6.61*6.03*4.18,GIA,5323989146,,2118.500,yellow,,,69.40,57.00,THN to THK,,,Faceted,NONE,,,,,,GIA 5323989146,Additional clouds are not shown. Surface graining is not shown.,INDIA,,MUMBAI,,,,,,,,,"GIA Color Is:-yellow, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
221-482A,G,RBC,0.46,M,VS1,VG,EX,VG,N,N,4.86*4.80*3.11,GIA,1353143381,,578.500,,,,64.40,57.00,MED to THK,,5.00,Faceted,NONE,,16.50,37.00,43.00,40.80,GIA 1353143381,,INDIA,,MUMBAI,,,,,,,,,"GIA Color Is:-O, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
227-72A,G,OV,0.91,F,SI1,G,EX,VG,N,N,7.44*5.21*3.25,GIA,5343863557,,2549.750,,,,62.40,57.00,VTK to ETK,,,Faceted,VSM,,,,,,GIA 5343863557,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
217-118A,G,CU,2.01,M,SI2,EX,EX,VG,F,N,6.97*6.81*4.70,GIA,2347481937,,1536.000,Orangy Yellow,,,69.00,58.00,THK to ETK,,,Faceted,NONE,,,,,,GIA 2347481937,Pinpoints are not shown. Internal graining is not shown.,INDIA,,MUMBAI,,,,,,,,,"GIA Color Is:-Orangy Yellow, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
245-56B,G,MQ,0.30,H,SI1,VG,EX,G,F,N,7.25*3.42*1.97,GIA,2354622426,,729.000,,,,57.50,61.00,STK to VTK,,,Faceted,NON,,,,,,GIA 2354622426,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
215-221A,G,PB,0.31,F,SI2,VG,EX,G,N,N,5.83*3.77*2.35,GIA,1345484609,,653.250,,,,62.40,63.00,THN to VTK,,,Faceted,NONE,,,,,,GIA 1345484609,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
240-265A,G,RBC,0.21,F,VVS2,EX,EX,EX,F,N,3.81*3.78*2.36,GIA,7356589176,,1358.000,,,,62.20,57.00,MED to STK,,3.50,Faceted,NON,,15.00,35.00,43.50,41.20,GIA 7356589176,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
245-77C,G,RBC,0.30,K,SI1,EX,EX,EX,F,N,4.28*4.26*2.69,GIA,1353632810,,741.000,,,,63.00,56.00,MED to STK,,3.50,Faceted,NON,,16.00,36.50,43.50,41.00,GIA 1353632810,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
227-94B,G,PB,0.30,E,VVS1,VG,VG,G,N,N,5.93*3.69*2.27,GIA,6345766588,,1075.000,,,,61.50,62.00,MED to THK,,,Faceted,NONE,,,,,,GIA 6345766588,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
242-18A,G,OV,1.70,G,SI2,EX,EX,VG,N,N,8.98*6.85*4.14,GIA,5353453870,,4278.000,,,,60.50,57.00,MED to VTK,,,Faceted,NON,,,,,,GIA 5353453870,Additional clouds are not shown. Pinpoints are not shown.,INDIA,,NEW YORK,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
238-161A,G,RBC,0.31,M,VS2,EX,EX,EX,N,N,4.33*4.30*2.70,GIA,6355536227,,607.750,,,,62.50,58.00,MED,,3.50,Faceted,NON,,15.50,36.00,43.50,41.20,GIA 6355536227,,INDIA,,MUMBAI,,,,,,,,,"GIA Color Is:-N, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
245-77A,G,RBC,0.40,L,SI2,EX,EX,EX,F,N,4.73*4.70*2.92,GIA,7358630006,,649.000,,,,61.80,60.00,MED to STK,,4.00,Faceted,NON,,14.00,34.50,44.00,41.60,GIA 7358630006,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
214-74A,G,PB,1.00,H,SI2,VG,G,VG,N,N,7.98*5.57*3.46,IGI,400929842,,1773.750,,,,62.10,64.00,Thick To Very Thick (Faceted),,6.90,Faceted,Pointed,,14.50,37.80,41.00,38.70,,N/A,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
