Stock No,Availability,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Lab,Certificate Number,Price Per Carat,Rapnet  Discount,Depth,Table,GirdleThin,GirdleThick,GirdlePercent,GirdleCondition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Star Length,Lower Half,Laser Inscription,Key to symbols,City,State,Country,Shade,MeasLength,MeasWidth,MeasDepth,Ratio,Treatment,Black Inclusion,White Inclusion,Open Inclusion,Milky,Heart and Arrow,Eye Clean,Comment,Member Comment,Supplier Comment,Trade Show No,Pair Stock #,Diamond Image,Certificate Image,Video Link,H & A Image,Plotting Image
240-305A,G,RBC,0.19,E,VS1,EX,EX,EX,N,N,3.68*3.65*2.28,,,,GIA,6352569869,1191.290,3.590,62.30,59.00,,,4.00,Faceted,NON,,15.00,36.00,43.50,41.00,50,,GIA 6352569869 ,"Cloud, Needle, Pinpoint",MUMBAI,,INDIA,White,3.68,3.65,2.28,0.99,,TABLE BLACK 0,NONE VISIBLE,TABLE OPEN 0,None,NEW YORK,SURE,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
234-151A,G,RBC,0.70,M,VVS2,EX,EX,EX,N,N,5.81*5.78*3.41,,,,GIA,2348766676,1127.500,-48.750,58.90,61.00,,,3.50,Faceted,NONE,,12.50,33.00,43.00,40.80,50,,GIA 2348766676,"Pinpoint, Feather",NEW YORK,,INDIA,White,5.81,5.78,3.41,0.99,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,0,EYE CLEAN YES,,"GIA Color Is:-M, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
239-2A,G,PB,0.70,H,SI1,VG,EX,G,M,BLUE,8.09*4.68*3.03,,,,GIA,1357603271,1447.100,-50.100,64.80,54.00,,,,Faceted,NON,,,,,,,,GIA 1357603271,"Feather, Indented Natural, Cavity",NEW YORK,,INDIA,White,8.09,4.68,3.03,0.58,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 1,None,NEW YORK,SURE,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
239-36D,G,PB,0.40,F,SI1,VG,EX,G,F,N,6.48*4.09*2.51,,,,GIA,3355588964,1007.250,-40.750,61.40,56.00,,,,Faceted,NON,,,,,,,,GIA 3355588964,"Feather, Cloud",MUMBAI,,INDIA,White,6.48,4.09,2.51,0.63,,TABLE BLACK 0,NONE VISIBLE,TABLE OPEN 0,None,NEW YORK,SURE,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
205-297A,G,PB,0.30,F,SI2,VG,VG,F,N,N,6.00*3.84*2.28,,,,GIA,6345851108,598.000,-54.000,59.20,56.00,,,,Faceted,NONE,,,,,,,,GIA 6345851108,"Crystal, Feather",MUMBAI,,INDIA,White,6.00,3.84,2.28,0.64,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 0,None,0,EYE CLEAN YES,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
238-128A,G,RBC,0.32,D,VVS1,EX,EX,EX,S,BLUE,4.38*4.36*2.73,,,,GIA,6355516078,1500.750,-48.250,62.50,57.00,,,3.50,Faceted,NON,,16.00,36.00,43.50,41.00,50,,GIA 6355516078 ,"Cloud, Pinpoint, Feather",MUMBAI,,INDIA,White,4.38,4.36,2.73,1.00,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,NEW YORK,SURE,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
212-60D,G,OV,0.30,H,SI2,VG,VG,G,F,N,5.27*3.73*2.35,,,,GIA,3345484660,673.750,-38.750,62.80,56.00,,,,Faceted,NONE,,,,,,,,GIA 3345484660,"Cavity, Feather",MUMBAI,,INDIA,White,5.27,3.73,2.35,0.71,,NONE VISIBLE,WHITE TABLE 1,TABLE OPEN 0,None,0,EYE CLEAN YES,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
235-84A,G,RBC,0.70,M,VS1,EX,EX,VG,S,BLUE,5.66*5.59*3.56,,,,GIA,5353143615,845.250,-59.750,63.30,55.00,,,3.50,Faceted,NONE,,16.50,36.50,43.00,40.60,50,,GIA 5353143615,"Indented Natural, Needle, Cloud, Pinpoint",NEW YORK,,INDIA,White,5.66,5.59,3.56,0.99,,TABLE BLACK 0,NONE VISIBLE,TABLE OPEN 0,None,0,EYE CLEAN YES,,"GIA Color Is:-M, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
203-1A,G,CU,10.08,H,VVS2,,EX,VG,N,N,12.87*12.02*8.39,,,,HRD,190000165370,20500.000,-59.000,63.00,69.80,,,,,,,,,,,,,,,NEW YORK,,INDIA,White,12.87,12.02,8.39,0.93,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,NV,SURE,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
1219-1,G,RBC,0.96,H,I1,EX,EX,VG,F,N,6.35*6.31*3.87,,,,GIA,1349252180,2280.000,-24.000,61.10,58.00,,,,,,,15.00,,42.50,,,,,Feather,MUMBAI,,INDIA,White,6.35,6.31,3.87,0.99,,NONE VISIBLE,WHITE TABLE 2,TABLE OPEN 1,None,0,MINOR,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
241-88A,G,RBC,0.80,M,VS2,EX,EX,EX,N,N,5.94*5.92*3.71,,,,GIA,2357098245,1095.000,-45.250,62.50,55.00,,,3.50,Faceted,NONE,,16.00,36.00,43.00,40.60,50,,GIA 2357098245,"Feather, Cavity",NEW YORK,,INDIA,White,5.94,5.92,3.71,1.00,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,0,EYE CLEAN YES,,"GIA Color Is:-M, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
235-81B,G,OV,0.30,I,VVS2,EX,EX,VG,S,BLUE,5.36*3.77*2.25,,,,GIA,1353346124,724.750,-44.250,59.60,59.00,,,,Faceted,NON,,,,,,,,GIA 1353346124,"Pinpoint, Cloud",MUMBAI,,INDIA,White,5.36,3.77,2.25,0.70,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,NEW YORK,SURE,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
225-121A,G,OV,0.50,H,SI2,VG,EX,VG,N,N,6.07*4.57*2.81,,,,GIA,2344985767,1039.500,-42.250,61.50,59.00,,,,Faceted,NONE,,,,,,,,GIA 2344985767,Feather,NEW YORK,,INDIA,White,6.07,4.57,2.81,0.75,,TABLE BLACK 0,WHITE TABLE 1,TABLE OPEN 0,None,0,EYE CLEAN YES,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
220-41A,G,OV,0.30,F,SI2,EX,EX,VG,N,N,5.19*3.87*2.36,,,,GIA,7343719633,791.700,-39.100,60.90,60.00,,,,Faceted,NONE,,,,,,,,GIA 7343719633,"Feather, Crystal",MUMBAI,,INDIA,White,5.19,3.87,2.36,0.75,,NONE VISIBLE,WHITE TABLE 1,NONE VISIBLE,None,0,EYE CLEAN NO,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
212-83A,G,RBC,0.96,G,SI2,VG,EX,VG,F,N,6.24*6.31*3.78,,,,IGI,407973580,1672.000,-62.000,60.20,63.00,,,4.80,Faceted,Pointed,,12.50,34.30,42.50,40.40,,,,,NEW YORK,,INDIA,White,6.24,6.31,3.78,1.01,,TABLE BLACK 2,WHITE TABLE 1,TABLE OPEN 0,None,0,EYE CLEAN NO,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
230-701A,G,RBC,0.23,F,IF,EX,EX,EX,N,N,4.01*4.00*2.39,,,,GIA,3345766492,1588.750,2.500,59.50,59.00,,,3.00,Faceted,NONE,,13.50,33.00,43.00,40.80,50,,GIA 3345766492,"Surface Graining, Minor Details of Polish",MUMBAI,,INDIA,White,4.01,4.00,2.39,1.00,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,0,EYE CLEAN YES,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
229-142A,G,OV,0.33,L,VS1,VG,EX,VG,F,N,5.47*3.86*2.35,,,,GIA,6351097491,436.000,-45.500,61.00,58.00,,,,Faceted,NONE,,,,,,,,GIA 6351097491,"Crystal, Cloud, Indented Natural, Pinpoint",MUMBAI,,INDIA,White,5.47,3.86,2.35,0.71,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 0,None,0,EYE CLEAN YES,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
246-28A,G,RBC,1.00,I,SI2,G,EX,VG,M,BLUE,6.14*6.06*4.04,,,,GIA,7356447889,2205.000,-55.000,66.10,57.00,,,7.50,Faceted,NON,,17.50,39.50,41.50,39.80,45,,GIA 7356447889,"Crystal, Cloud, Indented Natural, Needle, Natural",MUMBAI,,INDIA,White,6.14,6.06,4.04,0.99,,NONE VISIBLE,WHITE TABLE 1,TABLE OPEN 0,None,NEW YORK,MEDIUM,Additional clouds are not shown. Pinpoints are not shown.,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
229-130A,G,OV,0.30,E,SI2,G,EX,G,N,N,5.06*3.57*2.37,,,,GIA,5353014162,742.000,-47.000,66.50,55.00,,,,Faceted,NONE,,,,,,,,GIA 5353014162,Feather,MUMBAI,,INDIA,White,5.06,3.57,2.37,0.71,,TABLE BLACK 0,WHITE TABLE 1,TABLE OPEN 0,None,0,EYE CLEAN YES,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
237-152A,G,RBC,0.30,K,VVS2,EX,EX,EX,N,N,4.30*4.27*2.70,,,,GIA,2356589026,768.750,-48.750,63.00,58.00,,,4.00,Faceted,NON,,14.50,34.50,44.50,41.80,50,,GIA 2356589026,"Pinpoint, Feather, Internal Graining, Surface Graining",MUMBAI,,INDIA,BROWN,4.30,4.27,2.70,0.99,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,NEW YORK,SURE,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
SD-072034,M,RBC,1.19,F,I1,VG,EX,EX,N,,6.73*6.70*4.19,,,,GIA,2356736920,2747.000,-33.000,62.30,58.00,,,,Faceted,0,,0.16,,0.43,,,,,,MUMBAI,,INDIA,White,6.73,6.70,4.19,1.00,,TABLE BLACK 0,WHITE TABLE 1,TABLE OPEN 0,None,0,MINOR,0,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
240-881A,G,RBC,0.23,D,VVS1,EX,EX,EX,N,N,3.93*3.91*2.46,,,,GIA,6351632458,1671.210,7.820,62.80,56.00,,,3.50,Faceted,NON,,16.00,36.00,43.50,41.00,50,,GIA 6351632458,Pinpoint,MUMBAI,,INDIA,White,3.93,3.91,2.46,0.99,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,NEW YORK,SURE,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
238-119A,G,RBC,0.33,I,VVS2,EX,EX,EX,S,BLUE,4.44*4.41*2.75,,,,GIA,6352517662,914.850,-51.850,62.10,56.00,,,4.00,Faceted,NON,,15.50,34.50,43.00,40.80,50,,GIA 6352517662 ,"Cloud, Pinpoint",MUMBAI,,INDIA,White,4.44,4.41,2.75,0.99,,TABLE BLACK 0,WHITE TABLE 1,TABLE OPEN 0,None,NEW YORK,SURE,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
228-106A,G,OV,0.50,G,SI2,G,EX,G,N,N,5.75*4.41*2.73,,,,GIA,2346977005,1011.750,-46.750,62.00,49.00,,,,Faceted,NONE,,,,,,,,GIA 2346977005,"Crystal, Feather",MUMBAI,,INDIA,White,5.75,4.41,2.73,0.77,,TABLE BLACK 1,NONE VISIBLE,TABLE OPEN 0,None,0,EYE CLEAN NO,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
DG-12,G,RBC,0.70,F,I1,EX,EX,EX,S,BLUE,5.67*5.63*3.50,,,,GIA,7356741921,1425.000,-43.000,61.90,59.00,,,,Faceted,0,,0.15,,0.43,,,,,,MUMBAI,,INDIA,White,5.67,5.63,3.50,0.99,,TABLE BLACK 2,WHITE TABLE 1,TABLE OPEN 0,None,0,MEDIUM,0,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
227-34A,G,PB,1.21,L,SI2,VG,EX,VG,N,N,9.90*5.96*3.38,,,,GIA,2346874090,1311.000,-43.000,56.80,61.00,,,,Faceted,NONE,,,,,,,,GIA 2346874090,"Feather, Cavity, Natural",NEW YORK,,INDIA,BROWN,9.90,5.96,3.38,0.60,,TABLE BLACK 0,WHITE TABLE 1,TABLE OPEN 0,None,0,EYE CLEAN YES,Internal graining is not shown.,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
1219-4,G,RBC,1.00,I,I1,G,VG,G,F,N,6.29*6.16*4.01,,,,GIA,2348255500,1971.750,-40.250,64.40,60.00,,,,,,,14.50,,44.00,,,,,"Feather, Crystal, Needle, Indented Natural, Knot, Natural",MUMBAI,,INDIA,White,6.29,6.16,4.01,0.98,,TABLE BLACK 1 ,WHITE TABLE 1,TABLE OPEN 0,None,0,MEDIUM,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
232-182A,G,OV,0.33,K,VS2,EX,EX,VG,N,N,5.34*3.96*2.38,,,,GIA,6351516557,562.500,-37.500,60.00,59.00,,,,Faceted,NON,,,,,,,,GIA 6351516557 ,Feather,MUMBAI,,INDIA,White,5.34,3.96,2.38,0.74,,TABLE BLACK 0,WHITE TABLE 1,TABLE OPEN 0,None,0,SURE,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
209-171A,G,RBC,1.20,J,SI2,EX,EX,EX,N,N,6.75*6.80*4.21,,,,IGI,414079632,2283.750,-49.250,62.20,57.50,,,3.40,,Pointed,,15.50,36.20,43.00,40.90,,,,,MUMBAI,,INDIA,White,6.75,6.80,4.21,1.01,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 0,None,0,MEDIUM,IDEAL CUT ROUND BRILLIANT,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
9238-29,G,RBC,0.70,H,SI2,VG,EX,VG,N,,5.80*5.73*3.37,,,,GIA,5353743029,1740.000,-40.000,58.40,63.00,,,,Faceted,0,,0.12,,0.43,,,,,,MUMBAI,,INDIA,White,5.80,5.73,3.37,0.99,,NONE VISIBLE  ,WHITE TABLE 1,TABLE OPEN 0,None,0,SURE,0,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
196-18A,M,CU,1.32,,SI2,EX,VG,VG,N,N,6.61*6.03*4.18,yellow,Fancy Deep,Brownish-Greenish,GIA,5323989146,2118.500,11.500,69.40,57.00,,,,Faceted,NONE,,,,,,,,GIA 5323989146,"Crystal, Cloud, Needle, Indented Natural, Cavity, Feather",MUMBAI,,INDIA,White,6.61,6.03,4.18,0.91,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 0,None,0,,Additional clouds are not shown. Surface graining is not shown.,"GIA Color Is:-yellow, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
221-482A,G,RBC,0.46,M,VS1,VG,EX,VG,N,N,4.86*4.80*3.11,,,,GIA,1353143381,565.500,-56.500,64.40,57.00,,,5.00,Faceted,NONE,,16.50,37.00,43.00,40.80,50,,GIA 1353143381,"Crystal, Indented Natural, Cavity, Pinpoint",MUMBAI,,INDIA,White,4.86,4.80,3.11,0.99,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,0,EYE CLEAN YES,,"GIA Color Is:-M, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
217-118A,G,CU,2.01,,SI2,EX,EX,VG,F,N,6.97*6.81*4.70,Orangy Yellow,Fancy Deep,Brownish ,GIA,2347481937,1504.000,-53.000,69.00,58.00,,,,Faceted,NONE,,,,,,,,GIA 2347481937,"Crystal, Feather, Needle, Etch Channel, Indented Natural, Natural",NEW YORK,,INDIA,BROWN,6.97,6.81,4.70,0.98,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 2,None,0,EYE CLEAN NO,Pinpoints are not shown. Internal graining is not shown.,"GIA Color Is:-Orangy Yellow, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
215-221A,G,PB,0.31,F,SI2,VG,EX,G,N,N,5.83*3.77*2.35,,,,GIA,1345484609,646.750,-50.250,62.40,63.00,,,,Faceted,NONE,,,,,,,,GIA 1345484609,Feather,MUMBAI,,INDIA,White,5.83,3.77,2.35,0.65,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,0,EYE CLEAN YES,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
DSSRD-5,G,RBC,1.00,D,SI2,VG,EX,G,N,,6.39*6.29*3.93,,,,IGI,432026626,3055.000,-53.000,61.90,56.00,,,,0,0,,14.00,32.10,43.00,40.70,,,,,MUMBAI,,INDIA,White,6.39,6.29,3.93,0.98,,TABLE BLACK 0 ,WHITE TABLE 2,TABLE OPEN 0,None,0,MEDIUM,0,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
DS-21,G,RBC,1.20,G,I1,VG,EX,EX,F,,6.63*6.59*4.28,,,,GIA,2357703662,3012.750,-22.750,64.70,56.00,,,,Faceted,Pointed,,0.17,,0.43,,,,,,MUMBAI,,INDIA,White,6.63,6.59,4.28,0.99,,TABLE BLACK 1,WHITE TABLE 2,TABLE OPEN 0,None,0,MINOR,0,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
238-161A,G,RBC,0.31,M,VS2,EX,EX,EX,N,N,4.33*4.30*2.70,,,,GIA,6355536227,599.500,-45.500,62.50,58.00,,,3.50,Faceted,NON,,15.50,36.00,43.50,41.20,50,,GIA 6355536227,Crystal,MUMBAI,,INDIA,White,4.33,4.30,2.70,0.99,,TABLE BLACK 1,WHITE TABLE 0,TABLE OPEN 0,None,NEW YORK,SURE,,"GIA Color Is:-M, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
245-77A,G,RBC,0.40,L,SI2,EX,EX,EX,F,N,4.73*4.70*2.92,,,,GIA,7358630006,640.750,-41.750,61.80,60.00,,,4.00,Faceted,NON,,14.00,34.50,44.00,41.60,50,,GIA 7358630006,"Cloud, Crystal, Feather",MUMBAI,,INDIA,White,4.73,4.70,2.92,0.99,,TABLE BLACK 0,WHITE TABLE 1,NONE VISIBLE,None,NEW YORK,MEDIUM,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
