Stock #,Availability,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,BGM,Eye Clean,Lab,Report #,RapLab Report ID,Treatment,RapNet Price,Rapnet  Discount %,Cash Price,Cash Price Discount %,Depth %,Table %,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Laser Inscription,Cert Comment,Key to symbols,Member Comment,Star Length,Shade,White Inclusion,Black Inclusion,Open Inclusion,Milky,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Country,State,City,Brand,Seller Spec,Report Filename,Diamond Image,Sarine Loupe,Trade Show,Report Issue Date,Report Type,Lab Location,Pair Stock #,Is Matched Pair Separable,Allow RapLink Feed,Parcel Stones
220-200A,G,PR,0.32,D,VS1,EX,EX,VG,N,N,3.82*3.77*2.72,No,,GIA,2346851163,,,1100.000,-45.000,,,72.20,72.00,,,,,NON,,,,,,GIA 2346851163,,"Crystal, Pinpoint, Cloud","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2346851163&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
222-342A,G,R,0.38,K,VS2,EX,EX,EX,N,N,4.61*4.58*2.90,No,,GIA,6342827395,,,882.000,-37.000,,,63.20,56.00,,,3.50,Faceted,NON,,16.50,36.50,43.00,41.00,GIA 6342827395,,"Crystal, Needle, Feather","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6342827395&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
228-186A,G,R,0.40,J,SI1,EX,EX,EX,M,B,4.72*4.70*2.95,No,,GIA,7341976899,,,986.000,-42.000,,,62.70,56.00,,,3.50,Faceted,NON,,16.00,36.50,43.00,40.80,GIA 7341976899,,Feather,"WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=7341976899&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
228-257A,G,R,0.33,E,VS2,EX,EX,EX,M,B,4.43*4.40*2.79,No,,GIA,2346955310,,,1265.000,-42.500,,,63.20,57.00,,,3.50,Faceted,NON,,16.00,36.50,43.50,41.20,GIA 2346955310,,Crystal,"WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2346955310&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
229-101A,G,R,0.30,E,VS1,VG,EX,VG,N,N,4.21*4.16*2.66,No,,GIA,6352067910,,,1296.000,-46.000,,,63.40,58.00,,,5.50,Faceted,NON,,16.50,38.00,41.50,40.00,GIA 6352067910,,"Crystal, Feather, Needle, Pinpoint","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6352067910&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
222-81A,G,R,0.40,G,VS2,VG,EX,VG,F,N,4.65*4.61*2.97,No,,GIA,2346766284,,,1437.500,-42.500,,,64.20,55.00,,,4.50,Faceted,NON,,16.50,36.50,43.00,40.80,GIA 2346766284,,"Feather, Cloud","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2346766284&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
227-68A,G,R,0.40,E,SI2,EX,EX,EX,N,N,4.74*4.70*2.95,No,,GIA,5346862577,,,1290.000,-35.500,,,62.50,59.00,,,3.50,Faceted,NON,,15.00,36.00,43.50,41.20,GIA 5346862577,,"Twinning Wisp, Feather","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=5346862577&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
221-402A,G,R,0.30,J,VS2,EX,EX,VG,F,N,4.29*4.26*2.69,No,,GIA,5343799393,,,984.000,-38.500,,,63.00,54.00,,,4.00,Faceted,NON,,14.50,32.00,44.50,41.80,GIA 5343799393,,"Feather, Crystal","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=5343799393&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
222-491A,G,OV,0.30,H,SI2,EX,EX,VG,N,N,5.25*3.70*2.32,No,,GIA,6341910987,,,852.000,-29.000,,,62.70,57.00,,,,Faceted,NON,,,,,,GIA 6341910987,,"Crystal, Feather","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6341910987&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
214-54A,G,R,1.00,G,SI2,G,EX,VG,M,N,6.21*6.25*4.02,No,,IGI,407973586,,,6000.000,0.000,,,64.50,57.00,,,5.10,,Pointed,,17.00,38.50,42.00,40.30,,,,"WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,,,,MUMBAI,,,,,http://www.igiworldwide.com/search_report.aspx,,,,,,,,,1,
231-169A,G,R,0.30,D,VS1,G,EX,VG,S,B,4.14*4.08*2.75,No,,GIA,1353097338,,,1430.000,-45.000,,,66.80,59.00,,,6.50,Faceted,NON,,14.00,34.50,46.00,42.60,GIA 1353097338,,"Crystal, Indented Natural, Needle, Pinpoint","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1353097338&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
228-235A,G,PR,0.30,I,VVS2,G,EX,VG,F,N,3.54*3.40*2.67,No,,GIA,2347889210,,,875.000,-37.500,,,78.60,72.00,,,,,NON,,,,,,GIA 2347889210,,"Pinpoint, Cavity, Natural","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2347889210&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
228-125A,G,R,0.30,J,SI1,VG,EX,EX,F,N,4.24*4.20*2.67,No,,GIA,1349976915,,,1035.000,-31.000,,,63.30,55.00,,,4.50,Faceted,NON,,17.50,38.00,41.50,39.80,GIA 1349976915,,"Crystal, Cloud","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1349976915&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
225-127A,G,OV,0.30,H,VS2,VG,EX,VG,F,N,4.85*3.78*2.40,No,,GIA,6352026553,,,840.000,-40.000,,,63.50,60.00,,,,Faceted,NON,,,,,,GIA 6352026553,,"Cloud, Crystal, Feather","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6352026553&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
224-14A,G,PE,1.51,I,SI2,EX,EX,VG,N,N,9.80*6.51*3.97,No,,GIA,1349897940,,,3437.500,-37.500,,,60.90,61.00,,,,Faceted,NON,,,,,,GIA 1349897940,"Additional clouds, a pinpoint and surface graining are not shown.","Feather, Cloud, Crystal, Needle","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1349897940&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
225-100B,G,MQ,0.50,,VVS2,G,EX,VG,N,N,7.96*4.20*2.35,No,,GIA,7351014210,,,1200.000,0.000,,,55.90,62.00,,,,Faceted,NON,,,,,,GIA 7351014210,,"Feather, Pinpoint, Internal Graining, Indented Natural","GIA Color Is:-K,FB, WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,"K,FB",,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=7351014210&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
241-64A,G,R,1.01,K,VS1,VG,EX,VG,N,N,6.29*6.21*4.04,No,,GIA,1357031123,,,2632.000,-44.000,,,64.70,60.00,,,5.50,Faceted,NON,,14.50,35.50,44.50,41.80,GIA 1357031123,Additional clouds are not shown. Pinpoints are not shown.,"Needle, Cloud, Natural","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1357031123&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
225-117A,G,R,0.42,E,VVS1,EX,EX,EX,N,N,4.77*4.74*2.99,No,,GIA,2356001353,,,2485.000,-29.000,,,63.00,55.00,,,3.50,Faceted,NON,,16.50,36.50,42.50,40.60,GIA 2356001353,,Pinpoint,"WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2356001353&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
218-168A,G,MQ,0.46,I,VS1,EX,EX,VG,N,N,7.28*4.05*2.59,No,,GIA,5346461977,,,1003.000,-41.000,,,64.10,53.00,,,,Faceted,NON,,,,,,GIA 5346461977,,"Feather, Needle, Cloud","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=5346461977&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
228-22A,G,R,0.30,H,VS1,EX,EX,EX,F,N,4.31*4.29*2.69,No,,GIA,2347971650,,,1230.000,-38.500,,,62.50,56.00,,,3.50,Faceted,NON,,15.00,34.50,44.00,41.40,GIA 2347971650,,"Cloud, Feather, Pinpoint","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",45,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2347971650&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
232-253A,G,EM,0.50,H,SI1,G,EX,VG,N,N,4.91*3.86*2.73,No,,GIA,5353026956,,,2100.000,0.000,,,70.80,62.00,,,,,NON,,,,,,GIA 5353026956,,Crystal,"WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=5353026956&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
217-23C,G,EM,0.50,M,VS2,EX,EX,VG,N,N,5.44*3.73*2.53,No,,GIA,5343483312,,,1100.000,0.000,,,68.00,64.00,,,,,NON,,,,,,GIA 5343483312,,Feather,"WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=5343483312&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
227-136A,G,OV,0.50,E,SI1,VG,EX,VG,N,N,6.30*4.49*2.63,No,,GIA,7346827761,,,1475.000,-41.000,,,58.60,56.00,,,,Faceted,NON,,,,,,GIA 7346827761,,Feather,"WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=7346827761&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
229-213A,G,R,0.30,E,VS2,VG,EX,VG,N,N,4.20*4.16*2.70,No,,GIA,1348852547,,,1276.000,-42.000,,,64.60,58.00,,,5.00,Faceted,NON,,16.00,37.00,43.50,41.20,GIA 1348852547,,"Feather, Indented Natural","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1348852547&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
223-31A,G,R,1.00,M,VS2,VG,EX,VG,F,N,6.26*6.18*4.02,No,,GIA,7342528252,,,2106.000,-41.500,,,64.60,59.00,,,5.50,Faceted,NON,,15.50,36.50,44.00,41.40,GIA 7342528252,Internal graining is not shown.,"Feather, Indented Natural, Crystal, Cloud, Pinpoint, Natural","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=7342528252&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
228-18A,G,R,0.30,H,SI2,G,EX,VG,N,N,4.15*4.09*2.70,No,,GIA,1357001548,,,832.000,-48.000,,,65.40,58.00,,,5.50,Faceted,NON,,16.50,38.00,43.50,41.20,GIA 1357001548,,"Feather, Cavity","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1357001548&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
236-22A,G,R,0.52,D,VVS1,EX,EX,EX,VS,B,5.14*5.11*3.21,No,,GIA,6351068117,,,5500.000,0.000,,,62.80,58.00,,,4.00,Faceted,NON,,14.50,34.50,44.50,41.60,GIA 6351068117,,"Internal Graining, Feather","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6351068117&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
230-2026A,G,R,0.19,E,VVS1,EX,EX,EX,N,N,3.79*3.77*2.26,No,,GIA,6352161546,,,1330.000,-5.000,,,59.80,58.00,,,3.50,Faceted,NON,,13.50,32.50,43.00,40.80,GIA 6352161546,,"Pinpoint, Feather","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",45,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6352161546&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
224-40G,G,PE,0.38,D,VVS1,EX,EX,VG,N,N,6.39*4.14*2.52,No,,GIA,6341720790,,,1675.000,-33.000,,,60.70,56.00,,,,Faceted,NON,,,,,,GIA 6341720790,,"Pinpoint, Feather, Surface Graining","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6341720790&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
233-96A,G,R,1.00,H,SI2,VG,EX,VG,N,N,6.29*6.26*4.02,No,,GIA,5343702425,,,3021.000,-47.000,,,64.10,56.00,,,4.50,Faceted,NON,,16.50,37.50,42.50,40.60,GIA 5343702425,Additional pinpoints are not shown.,"Feather, Pinpoint, Extra Facet","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",45,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=5343702425&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
221-144A,G,PE,0.50,I,VS2,G,EX,VG,M,B,6.31*4.28*2.92,No,,GIA,2346719678,,,1071.000,-49.000,,,68.20,64.00,,,,Faceted,NON,,,,,,GIA 2346719678,,"Twinning Wisp, Feather, Cavity, Indented Natural","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2346719678&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
232-88A,G,R,0.30,D,VS1,G,EX,G,N,N,4.16*4.08*2.70,No,,GIA,2347972128,,,1339.000,-48.500,,,65.50,58.00,,,6.50,Faceted,NON,,15.00,35.50,44.00,41.20,GIA 2347972128,,"Indented Natural, Pinpoint","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2347972128&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
238-82A,G,EM,0.44,J,VVS1,EX,EX,VG,S,B,4.82*3.65*2.52,No,,GIA,5356086834,,,1700.000,0.000,,,69.00,62.00,,,,,NON,,,,,,GIA 5356086834,,"Pinpoint, Cloud","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=5356086834&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
235-99A,G,R,0.60,N,VS1,EX,EX,EX,M,B,5.37*5.36*3.35,No,,GIA,2357141345,,,629.000,-63.000,,,62.50,59.00,,,4.00,Faceted,NON,,14.50,35.00,44.00,41.40,GIA 2357141345,,"Crystal, Pinpoint, Needle, Indented Natural","GIA Color Is:-N, WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",45,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2357141345&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
224-34B,G,R,0.35,H,SI2,EX,EX,EX,F,N,4.59*4.56*2.79,No,,GIA,6342766499,,,1040.000,-35.000,,,60.90,59.00,,,4.00,Faceted,NON,,12.50,31.50,44.50,41.60,GIA 6342766499,,"Twinning Wisp, Feather","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6342766499&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
229-189A,G,PR,0.30,H,VS2,VG,EX,VG,N,N,3.64*3.54*2.65,No,,GIA,2346976999,,,1400.000,0.000,,,74.70,72.00,,,,,NON,,,,,,GIA 2346976999,,Feather,"WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2346976999&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
222-209A,G,PR,0.31,I,VVS1,EX,EX,VG,F,N,3.67*3.65*2.68,No,,GIA,7341752465,,,795.000,-47.000,,,73.40,72.00,,,,,NON,,,,,,GIA 7341752465,,Feather,"WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=7341752465&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
232-90A,G,OV,0.40,I,VS1,G,EX,G,F,N,5.30*3.97*2.69,No,,GIA,6352086135,,,1105.000,-35.000,,,67.70,57.00,,,,Faceted,NON,,,,,,GIA 6352086135,,"Crystal, Indented Natural, Cloud, Needle","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6352086135&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
222-234A,G,R,0.31,E,VVS1,EX,EX,EX,N,N,4.34*4.31*2.70,No,,GIA,6341694965,,,2072.000,-26.000,,,62.50,56.00,,,3.50,Faceted,NON,,16.50,36.50,42.50,40.60,GIA 6341694965,,Feather,"WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6341694965&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
230-722A,G,R,0.21,D,VS2,EX,EX,EX,N,N,3.82*3.81*2.35,No,,GIA,6351026399,,,1475.600,19.000,,,61.60,59.00,,,3.50,Faceted,NON,,14.50,35.00,44.00,41.40,GIA 6351026399,,"Crystal, Cloud","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6351026399&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
221-407A,G,R,0.30,I,SI1,EX,EX,VG,N,N,4.27*4.24*2.69,No,,GIA,2346827971,,,1000.000,-37.500,,,63.30,56.00,,,3.50,Faceted,NON,,16.50,36.50,43.50,41.00,GIA 2346827971,,Feather,"WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2346827971&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
221-321B,G,R,0.30,J,VVS1,VG,EX,EX,N,N,4.28*4.26*2.69,No,,GIA,7343766903,,,1149.500,-39.500,,,62.90,56.00,,,3.50,Faceted,NON,,15.50,35.50,44.00,41.40,GIA 7343766903,,Pinpoint,"WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=7343766903&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
231-176A,G,EM,0.40,D,VS2,VG,EX,VG,N,N,4.66*3.57*2.44,No,,GIA,6341955976,,,2400.000,0.000,,,68.30,64.00,,,,,NON,,,,,,GIA 6341955976,,"Crystal, Cloud","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6341955976&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
241-4A,G,OV,1.20,M,SI2,VG,EX,VG,N,N,8.49*5.84*3.55,No,,GIA,7358104136,,,1110.000,-44.500,,,60.70,60.00,,,,Faceted,NON,,,,,,GIA 7358104136,"Additional twinning wisps, pinpoints and surface graining are not shown.","Twinning Wisp, Natural","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=7358104136&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
224-10D,G,PE,0.40,I,VS1,VG,EX,VG,F,N,6.09*4.08*2.53,No,,GIA,3345706635,,,1122.000,-34.000,,,62.10,63.00,,,,Faceted,NON,,,,,,GIA 3345706635,,"Feather, Internal Graining, Pinpoint","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=3345706635&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
222-207A,G,R,0.40,F,SI1,VG,EX,EX,F,N,4.61*4.60*2.96,No,,GIA,2347862720,,,1331.000,-39.500,,,64.20,55.00,,,5.00,Faceted,NON,,17.50,38.00,42.00,40.00,GIA 2347862720,,"Twinning Wisp, Feather, Indented Natural","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2347862720&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
217-93A,G,R,0.90,,SI1,EX,EX,EX,S,B,6.16*6.12*3.88,No,,GIA,2346438233,,,1660.500,-38.500,,,63.20,56.00,,,3.50,Faceted,NON,,16.50,36.50,43.50,40.80,GIA 2346438233,,Twinning Wisp,"GIA Color Is:-K,FB, WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,"K,FB",,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2346438233&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
225-12A,G,R,0.90,F,SI1,EX,EX,EX,N,N,6.21*6.17*3.81,No,,GIA,7351034661,,,3538.000,-39.000,,,61.60,61.00,,,4.00,Faceted,NON,,13.00,33.50,44.50,41.80,GIA 7351034661,,"Knot, Feather, Cloud, Crystal","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=7351034661&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
