Stock Num,Availability,Lab,Certificate Num,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Price Per Cts,Total Price,Shade,Milky,Eye Clean,Black in Center,Black in Side,White in Center,White in Side,Open in Table,Open in Crown,Open in Pavilion,HA,Type 2A,Measurements,Width,Length,Depth,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Depth %,Table %,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Laser Inscription,Cert Comment,ImageName1,ImageName2,ImageName3,VideoLink,Diamond Url,Key to symbols,City,State,Country,Star Length,Lower Half,Color Description,Lab Location,Origin,Report Type,Report Issue Date,RapLab Report ID,Treatment,Full Shape Description
237-49A,G,GIA,6352121155,RBC,0.50,D,IF,VG,VG,EX,M,B,2562.000,1281.000,White,None,,BC0,BT0,WC0,WT0,TO0,CO0,PO0,,,5.00*4.96*3.17,4.96,5.00,3.17,,,,63.80,56.00,,,5.00,Faceted,NON,,17.00,38.00,42.00,40.00,GIA 6352121155,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,Minor Details of Polish,MUMBAI,,INDIA,50,75,,INDIA,,,,,,
222-15A,G,GIA,6342766986,RBC,0.40,J,VS1,G,EX,VG,F,N,1026.000,410.400,White,None,,BC0,BT0,WC0,WT0,TO0,CO0,PO0,,,4.64*4.59*2.97,4.59,4.64,2.97,,,,64.30,56.00,,,5.00,Faceted,NON,,16.50,36.50,42.50,40.60,GIA 6342766986,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Crystal, Indented Natural",MUMBAI,,INDIA,50,80,*,INDIA,,,,,,
221-479A,G,GIA,6351143304,RBC,0.50,M,SI2,VG,EX,VG,N,N,624.000,312.000,White,None,,BC1,BT1,WC1,WT1,TO0,NV,PO0,,,5.00*4.97*3.16,4.97,5.00,3.16,,,,63.30,55.00,,,5.00,Faceted,NON,,17.00,36.50,41.50,39.80,GIA 6351143304,"GIA Color Is:-O, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Crystal, Feather",MUMBAI,,INDIA,50,80,,INDIA,,,,,,
235-127A,G,GIA,2358143776,RBC,0.50,K,SI1,G,EX,VG,S,B,817.000,408.500,White,None,,BC1,BT1,WC1,WT1,TO0,CO0,PO1,,,4.93*4.87*3.20,4.87,4.93,3.20,,,,65.30,62.00,,,5.50,Faceted,NON,,15.00,37.50,45.00,42.00,GIA 2358143776,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Crystal, Feather",MUMBAI,,INDIA,55,75,,INDIA,,,,,,
227-11A,G,GIA,6345762870,OV,1.20,H,SI2,VG,EX,EX,N,N,2709.000,3250.800,Brown,None,,BC0,BT0,WC2,WT1,TO0,CO2,PO2,,,7.95*6.08*3.90,6.08,7.95,3.90,,,,64.10,60.00,,,,Faceted,NON,,,,,,GIA 6345762870,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Feather, Cavity, Pinpoint, Natural",MUMBAI,,INDIA,,,,INDIA,,,,,,
221-324A,G,GIA,7342783005,RBC,0.50,M,SI1,G,EX,VG,N,N,784.000,392.000,White,None,,BC0,BT0,WC2,WT1,TO0,CO0,PO1,,,4.89*4.85*3.22,4.85,4.89,3.22,,,,66.00,54.00,,,6.00,Faceted,NON,,18.50,38.50,41.50,39.80,GIA 7342783005,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,Feather,MUMBAI,,INDIA,50,75,,INDIA,,,,,,
221-345A,G,GIA,6342766065,RBC,0.40,L,VVS2,EX,EX,EX,N,N,900.000,360.000,White,None,,BC0,BT0,WC0,WT0,TO0,CO0,PO0,,,4.70*4.67*2.97,4.67,4.70,2.97,,,,63.40,56.00,,,3.50,Faceted,NON,,16.00,36.00,43.50,41.20,GIA 6342766065,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Indented Natural, Pinpoint",MUMBAI,,INDIA,50,80,,INDIA,,,,,,
215-574A,G,IGI,400929849,RBC,1.00,G,SI2,EX,EX,VG,N,N,1904.000,1904.000,,,,,,,,,,,,,6.32*6.37*4.01,6.37,6.32,4.01,,,,63.00,55.50,,,4.30,Faceted,Pointed,,15.00,33.90,44.00,41.30,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,MUMBAI,,INDIA,,,G,INDIA,,,,,,
225-11A,G,GIA,2357012663,OV,1.20,M,SI1,G,EX,G,F,N,940.000,1128.000,White,None,,BC1,BT1,WC1,WT1,NV,CO3,PO3,,,8.46*5.65*3.72,5.65,8.46,3.72,,,,65.80,65.00,,,,Faceted,NON,,,,,,GIA 2357012663,"GIA Color Is:-N, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Feather, Cavity, Cloud, Crystal, Indented Natural, Needle, Extra Facet",MUMBAI,,INDIA,,,,INDIA,,,,,,
212-56A,G,GIA,6355096143,RBC,0.98,E,SI2,EX,EX,EX,N,N,3200.000,3136.000,,,,,,,,,,,,,6.36*6.31*3.92,6.31,6.36,3.92,,,,61.90,61.00,,,4.00,Faceted,NON,,13.50,35.00,44.00,41.40,GIA 6355096143,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Cloud, Crystal, Feather, Indented Natural, Cavity, Needle, Natural",MUMBAI,,INDIA,45,75,,INDIA,,,,,,
240-904A,G,GIA,6351230218,RBC,0.21,E,VS2,EX,EX,EX,F,N,1196.000,251.160,White,None,,BC0,BT1,WC0,WT0,TO0,CO0,NV,,,3.81*3.79*2.38,3.79,3.81,2.38,,,,62.50,58.00,,,3.50,Faceted,NON,,15.50,36.00,43.50,41.20,GIA 6351230218 ,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,Crystal,MUMBAI,,INDIA,50,75,,INDIA,,,,,,
222-249A,G,GIA,6345852568,RBC,0.50,J,SI2,EX,EX,VG,F,N,1060.000,530.000,White,None,,BC0,BT0,WC2,WT1,TO0,CO0,PO2,,,5.08*5.04*3.14,5.04,5.08,3.14,,,,62.00,57.00,,,4.00,Faceted,NON,,15.00,35.00,43.00,40.60,GIA 6345852568,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Cloud, Feather",MUMBAI,,INDIA,50,75,,INDIA,,,,,,
237-25A,G,GIA,2358204309,RBC,0.35,E,VS2,EX,EX,EX,F,N,1323.000,463.050,White,None,,BC0,BT0,WC0,WT1,TO0,CO0,PO0,,,4.53*4.51*2.82,4.51,4.53,2.82,,,,62.30,57.00,,,4.00,Faceted,NON,,15.00,35.50,43.00,41.00,GIA 2358204309,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,Crystal,MUMBAI,,INDIA,50,80,,INDIA,,,,,,
231-57A,G,GIA,6352056043,RBC,0.31,H,VS1,EX,EX,EX,F,N,1159.000,359.290,White,None,,BC0,BT1,WC0,WT1,TO0,CO0,PO0,,,4.34*4.31*2.72,4.31,4.34,2.72,,,,62.90,57.00,,,3.50,Faceted,NON,,15.50,36.00,44.00,41.40,GIA 6352056043,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Crystal, Cloud, Pinpoint",MUMBAI,,INDIA,50,80,,INDIA,,,,,,
209-228A,G,GIA,1348515988,CU,1.50,M,I1,EX,EX,VG,N,N,2502.000,3753.000,,,,,,,,,,,,,6.52*6.09*4.20,6.09,6.52,4.20,yellow,,,69.00,59.00,,,,Faceted,NON,,,,,,GIA 1348515988,"GIA Color Is:-yellow, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Feather, Cloud, Crystal, Needle",MUMBAI,,INDIA,,,"[*], Fancy Intense Yellow, Natural Even",INDIA,,,,,,
221-195A,G,GIA,2348753212,RBC,0.40,H,VS1,VG,EX,VG,F,N,1254.000,501.600,White,None,,BC0,BT0,WC0,WT0,TO0,CO0,PO1,,,4.65*4.61*2.96,4.61,4.65,2.96,,,,64.00,57.00,,,5.50,Faceted,NON,,15.00,34.50,44.00,41.40,GIA 2348753212,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Indented Natural, Cloud, Pinpoint",MUMBAI,,INDIA,45,75,,INDIA,,,,,,
225-175A,G,GIA,1357097409,RBC,0.33,K,VS1,EX,EX,EX,F,N,600.000,198.000,Other,None,,BC0,BT0,WC1,NV,TO0,CO0,PO0,,,4.43*4.41*2.76,4.41,4.43,2.76,"K,FB",,,62.30,57.00,,,3.50,Faceted,NON,,16.00,36.50,42.50,40.60,GIA 1357097409,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,Twinning Wisp,MUMBAI,,INDIA,50,75,,INDIA,,,,,,
225-168A,G,GIA,6351098728,RBC,0.73,K,SI1,EX,EX,EX,F,N,1472.000,1074.560,White,None,,BC0,BT0,WC1,WT1,TO0,CO0,PO0,,,5.81*5.77*3.52,5.77,5.81,3.52,,,,60.90,60.00,,,4.50,Faceted,NON,,13.50,34.00,43.00,40.80,GIA 6351098728,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Twinning Wisp, Feather",MUMBAI,,INDIA,50,80,,INDIA,,,,,,
233-71A,G,GIA,5343723391,OV,1.30,J,SI1,VG,EX,VG,N,N,2278.000,2961.400,White,None,,BC0,NV,WC1,WT1,NV,CO1,PO2,,,7.92*6.12*3.95,6.12,7.92,3.95,,,,64.60,53.00,,,,Faceted,NON,,,,,,GIA 5343723391,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Feather, Indented Natural, Natural",MUMBAI,,INDIA,,,,INDIA,,,,,,
227-92A,G,GIA,6342782838,RBC,0.32,H,SI1,EX,EX,EX,N,N,928.000,296.960,Other,None,,BC1,BT0,WC1,WT0,TO0,CO0,PO0,,,4.39*4.38*2.76,4.38,4.39,2.76,,,,62.90,56.00,,,3.50,Faceted,NON,,16.00,36.00,43.50,41.00,GIA 6342782838,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,Crystal,MUMBAI,,INDIA,50,75,,INDIA,,,,,,
225-89A,G,GIA,5353092324,EM,0.80,J,SI2,EX,EX,VG,N,N,940.000,752.000,White,None,,BC0,BT0,WC2,WT1,NV,NV,PO0,,,5.89*4.46*3.11,4.46,5.89,3.11,,,,69.70,63.00,,,,Faceted,NON,,,,,,GIA 5353092324,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Feather, Cloud",MUMBAI,,INDIA,,,,INDIA,,,,,,
235-32B,G,GIA,6352026950,EM,0.35,I,VS2,EX,EX,VG,S,B,684.000,239.400,White,None,,BC0,BT1,WC0,WT1,TO0,CO0,PO0,,,4.64*3.51*2.38,3.51,4.64,2.38,,,,67.70,63.00,,,,Faceted,NON,,,,,,GIA 6352026950,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Feather, Crystal",MUMBAI,,INDIA,,,,INDIA,,,,,,
232-20A,G,GIA,7353161307,RBC,0.25,D,VVS1,EX,EX,EX,N,N,1612.000,403.000,White,None,,BC0,BT0,WC0,WT0,TO0,CO0,PO0,,,4.04*4.01*2.52,4.01,4.04,2.52,,,,62.60,57.00,,,3.50,Faceted,NON,,15.50,36.00,43.50,41.20,GIA 7353161307,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Feather, Cavity",MUMBAI,,INDIA,45,75,,INDIA,,,,,,
227-64A,G,GIA,6342812424,PB,0.70,F,SI2,EX,EX,VG,N,N,1512.000,1058.400,White,None,,BC0,BT1,WC2,NV,TO0,CO0,PO0,,,7.67*4.94*2.97,4.94,7.67,2.97,,,,60.20,56.00,,,,Faceted,NON,,,,,,GIA 6342812424,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,Feather,MUMBAI,,INDIA,,,,INDIA,,,,,,
229-237A,G,GIA,1353143770,RBC,0.30,L,VS2,EX,EX,EX,F,N,684.000,205.200,White,None,,BC0,BT1,WC0,WT1,TO0,CO0,PO0,,,4.32*4.30*2.67,4.30,4.32,2.67,,,,62.00,59.00,,,3.50,Faceted,NON,,14.00,34.00,44.50,41.80,GIA 1353143770,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Crystal, Cloud, Feather",MUMBAI,,INDIA,50,75,,INDIA,,,,,,
228-90A,G,GIA,2346954915,RBC,0.30,G,SI1,EX,EX,VG,F,N,1088.000,326.400,White,None,,BC0,BT0,WC1,WT1,TO0,CO0,PO0,,,4.29*4.26*2.69,4.26,4.29,2.69,,,,62.80,55.00,,,3.50,Faceted,NON,,17.00,36.50,43.00,40.60,GIA 2346954915,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Crystal, Cloud",MUMBAI,,INDIA,45,80,,INDIA,,,,,,
