Stock #,Availability,Shape,Weight,Color,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,Measurements Length,Measurements Width,Measurements Depth,Lab,Certificate ID,Treatment,Price Per Carat,Discount,Depth,Table,Girdle Thin,Girdle Thick,Girdle,Girdle Condition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Milky Inclusions,Black Inclusions,White Inclusions,Open Inclusions,Center Inclusions,Pavilion Angle,Laser Inscription,Member Comments,Supplier Comments,Country,State,City,Parcel Stones,CertificateLink,Certificate Comment,Diamond Image,Diamond Video,Is Matched Pair Separable,Pair Stock #,Eye Clean,Shade,Brand,Type2A,Type2ALink,Trade Show,ReportType,reportIssueDate,reportIssueLocation,diamondJourney,cashDiscount%,Star Length,Lower Half,Heart and Arrow,H & A Image,Plotting Image
235-84A,G,RBC,0.70,M,,,,VS1,EX,EX,VG,S,BLUE,5.66*5.59*3.56,5.66,5.59,3.56,GIA,5353143615,,861.000,59.000,63.30,55.00,THN to STK,,3.50,Faceted,NONE,,16.50,36.50,43.00,NONE,BT0,NV,TO0,CO1,40.60,GIA 5353143615,"GIA Color Is:-O, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/235-84A/still.jpg,https://srd.world/vision360/vision360.html?d=235-84A&s=0,,,EYE CLEAN YES,NO BGM,,,,,,,,,,50,75,,,
203-1A,G,CU,10.08,H,,,,VVS2,,EX,VG,N,N,12.87*12.02*8.39,12.87,12.02,8.39,HRD,190000165370,,20500.000,59.000,63.00,69.80,,,,,,,,,,NONE,BT0,WT0,TO0,CO0,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/203-1A/still.jpg,https://srd.world/vision360/vision360.html?d=203-1A&s=0,,,SURE,NO BGM,,,,,,,,,,,,NV,,
1219-1,G,RBC,0.96,H,,,,I1,EX,EX,VG,F,N,6.35*6.31*3.87,6.35,6.31,3.87,GIA,1349252180,,2287.500,23.750,61.10,58.00,,,,,,,15.00,,42.50,NONE,NV,WT2,TO1,CO2,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/1219-1/still.jpg,https://srd.world/vision360/vision360.html?d=1219-1&s=0,,,MINOR,NO BGM,,,,,,,,,,,,,,
241-88A,G,RBC,0.80,M,,,,VS2,EX,EX,EX,N,N,5.94*5.92*3.71,5.94,5.92,3.71,GIA,2357098245,,1110.000,44.500,62.50,55.00,MED to STK,,3.50,Faceted,NONE,,16.00,36.00,43.00,NONE,BT0,WT0,TO0,CO1,40.60,GIA 2357098245,"GIA Color Is:-Q, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/241-88A/still.jpg,https://srd.world/vision360/vision360.html?d=241-88A&s=0,,,EYE CLEAN YES,NO BGM,,,,,,,,,,50,75,,,
235-81B,G,OV,0.30,I,,,,VVS2,EX,EX,VG,S,BLUE,5.36*3.77*2.25,5.36,3.77,2.25,GIA,1353346124,,728.000,44.000,59.60,59.00,THK to VTK,,,Faceted,NON,,,,,NONE,BT0,WT0,TO0,CO0,,GIA 1353346124,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/235-81B/still.jpg,https://srd.world/vision360/vision360.html?d=235-81B&s=0,,,SURE,NO BGM,,,,,,,,,,,,NEW YORK,,
225-121A,G,OV,0.50,H,,,,SI2,VG,EX,VG,N,N,6.07*4.57*2.81,6.07,4.57,2.81,GIA,2344985767,,1053.000,41.500,61.50,59.00,THK to VTK,,,Faceted,NONE,,,,,NONE,BT0,WT1,TO0,CO0,,GIA 2344985767,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,NEW YORK,,,,https://srd.world/vision360/imaged/225-121A/still.jpg,https://srd.world/vision360/vision360.html?d=225-121A&s=0,,,EYE CLEAN YES,NO BGM,,,,,,,,,,,,,,
220-41A,G,OV,0.30,F,,,,SI2,EX,EX,VG,N,N,5.19*3.87*2.36,5.19,3.87,2.36,GIA,7343719633,,801.450,38.350,60.90,60.00,THN to STK,,,Faceted,NONE,,,,,NONE,NV,WT1,NV,CO0,,GIA 7343719633,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/Vision360/NoMedia/noimage.jpg,https://srd.world/vision360/NoMedia/novideo.pdf,,,EYE CLEAN NO,NO BGM,,,,,,,,,,,,,,
212-83A,G,RBC,0.96,G,,,,SI2,VG,EX,VG,F,N,6.24*6.31*3.78,6.24,6.31,3.78,IGI,407973580,,1705.000,61.250,60.20,63.00,Slightly Thick To Thick (Faceted) ,,4.80,Faceted,Pointed,,12.50,34.30,42.50,NONE,BT2,WT1,TO0,CO2,40.40,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/212-83A/still.jpg,https://srd.world/vision360/vision360.html?d=212-83A&s=0,,,EYE CLEAN NO,NO BGM,,,,,,,,,,,,,,
230-701A,G,RBC,0.23,F,,,,IF,EX,EX,EX,N,N,4.01*4.00*2.39,4.01,4.00,2.39,GIA,3345766492,,1604.250,-3.500,59.50,59.00,THN to MED,,3.00,Faceted,NONE,,13.50,33.00,43.00,NONE,BT0,WT0,TO0,CO0,40.80,GIA 3345766492,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/Vision360/NoMedia/noimage.jpg,https://srd.world/vision360/NoMedia/novideo.pdf,,,EYE CLEAN YES,NO BGM,,,,,,,,,,50,75,,,
243-3E,M,RBC,0.32,I,,,,VVS2,EX,EX,EX,N,N,4.38*4.36*2.72,4.38,4.36,2.72,GIA,2356516431,,1071.410,43.610,62.20,59.00,STK,,4.00,Faceted,NON,,14.00,34.00,44.50,NONE,NV,WT0,TO0,CO0,41.60,GIA 2356516431 ,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/243-3E/still.jpg,https://srd.world/vision360/vision360.html?d=243-3E&s=0,,,SURE,NO BGM,,,,,,,,,,50,80,NEW YORK,,
229-142A,G,OV,0.33,L,,,,VS1,VG,EX,VG,F,N,5.47*3.86*2.35,5.47,3.86,2.35,GIA,6351097491,,442.000,44.750,61.00,58.00,MED to THK,,,Faceted,NONE,,,,,NONE,BT1,WT1,TO0,CO1,,GIA 6351097491,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/Vision360/NoMedia/noimage.jpg,https://srd.world/vision360/NoMedia/novideo.pdf,,,EYE CLEAN YES,NO BGM,,,,,,,,,,,,,,
246-28A,G,RBC,1.00,I,,,,SI2,G,EX,VG,M,BLUE,6.14*6.06*4.04,6.14,6.06,4.04,GIA,7356447889,,2229.500,54.500,66.10,57.00,MED to VTK,,7.50,Faceted,NON,,17.50,39.50,41.50,NONE,NV,WT1,TO0,CO1,39.80,GIA 7356447889,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/246-28A/still.jpg,https://srd.world/vision360/vision360.html?d=246-28A&s=0,,,MEDIUM,NO BGM,,,,,,,,,,45,75,NEW YORK,,
229-130A,G,OV,0.30,E,,,,SI2,G,EX,G,N,N,5.06*3.57*2.37,5.06,3.57,2.37,GIA,5353014162,,749.000,46.500,66.50,55.00,THK to ETK,,,Faceted,NONE,,,,,NONE,BT0,WT1,TO0,CO0,,GIA 5353014162,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/Vision360/NoMedia/noimage.jpg,https://srd.world/vision360/NoMedia/novideo.pdf,,,EYE CLEAN YES,NO BGM,,,,,,,,,,,,,,
237-152A,G,RBC,0.30,K,,,,VVS2,EX,EX,EX,N,N,4.30*4.27*2.70,4.30,4.27,2.70,GIA,2356589026,,780.000,48.000,63.00,58.00,MED to STK,,4.00,Faceted,NON,,14.50,34.50,44.50,NONE,BT0,WT0,TO0,CO0,41.80,GIA 2356589026,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/237-152A/still.jpg,https://srd.world/vision360/vision360.html?d=237-152A&s=0,,,SURE,BROWN 1,,,,,,,,,,50,75,NEW YORK,,
240-881A,G,RBC,0.23,D,,,,VVS1,EX,EX,EX,N,N,3.93*3.91*2.46,3.93,3.91,2.46,GIA,6351632458,,1686.700,-8.820,62.80,56.00,MED to STK,,3.50,Faceted,NON,,16.00,36.00,43.50,NONE,BT0,WT0,TO0,CO0,41.00,GIA 6351632458,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/240-881A/still.jpg,https://srd.world/vision360/vision360.html?d=240-881A&s=0,,,SURE,NO BGM,,,,,,,,,,50,75,NEW YORK,,
238-119A,G,RBC,0.33,I,,,,VVS2,EX,EX,EX,S,BLUE,4.44*4.41*2.75,4.44,4.41,2.75,GIA,6352517662,,929.100,51.100,62.10,56.00,MED to STK,,4.00,Faceted,NON,,15.50,34.50,43.00,NONE,BT0,WT1,TO0,CO0,40.80,GIA 6352517662 ,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/238-119A/still.jpg,https://srd.world/vision360/vision360.html?d=238-119A&s=0,,,SURE,NO BGM,,,,,,,,,,50,80,NEW YORK,,
228-106A,G,OV,0.50,G,,,,SI2,G,EX,G,N,N,5.75*4.41*2.73,5.75,4.41,2.73,GIA,2346977005,,1021.250,46.250,62.00,49.00,STK to ETK,,,Faceted,NONE,,,,,NONE,BT1,NV,TO0,CO3,,GIA 2346977005,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/228-106A/still.jpg,https://srd.world/vision360/vision360.html?d=228-106A&s=0,,,EYE CLEAN NO,NO BGM,,,,,,,,,,,,,,
227-34A,G,PB,1.21,L,,,,SI2,VG,EX,VG,N,N,9.90*5.96*3.38,9.90,5.96,3.38,GIA,2346874090,,1328.250,42.250,56.80,61.00,MED to THK,,,Faceted,NONE,,,,,NONE,BT0,WT1,TO0,NV,,GIA 2346874090,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/227-34A/still.jpg,https://srd.world/vision360/vision360.html?d=227-34A&s=0,,,EYE CLEAN YES,BROWN 1,,,,,,,,,,,,,,
1219-4,G,RBC,1.00,I,,,,I1,G,VG,G,F,N,6.29*6.16*4.01,6.29,6.16,4.01,GIA,2348255500,,1996.500,39.500,64.40,60.00,,,,,,,14.50,,44.00,NONE,BT1,WT1,TO0,CO1,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/1219-4/still.jpg,https://srd.world/vision360/vision360.html?d=1219-4&s=0,,,MEDIUM,NO BGM,,,,,,,,,,,,,,
232-182A,G,OV,0.33,K,,,,VS2,EX,EX,VG,N,N,5.34*3.96*2.38,5.34,3.96,2.38,GIA,6351516557,,571.500,36.500,60.00,59.00,THK to VTK,,,Faceted,NON,,,,,NONE,BT0,WT1,TO0,CO0,,GIA 6351516557 ,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/232-182A/still.jpg,https://srd.world/vision360/vision360.html?d=232-182A&s=0,,,SURE,NO BGM,,,,,,,,,,,,,,
209-171A,G,RBC,1.20,J,,,,SI2,EX,EX,EX,N,N,6.75*6.80*4.21,6.75,6.80,4.21,IGI,414079632,,2317.500,48.500,62.20,57.50,Thin To Medium (Faceted) ,,3.40,,Pointed,,15.50,36.20,43.00,NONE,BT1,WT1,TO0,CO0,40.90,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/209-171A/still.jpg,https://srd.world/vision360/vision360.html?d=209-171A&s=0,,,MEDIUM,NO BGM,,,,,,,,,,,,,,
196-18A,M,CU,1.32,M,yellow,Fancy Deep,Brownish-Greenish,SI2,EX,VG,VG,N,N,6.61*6.03*4.18,6.61,6.03,4.18,GIA,5323989146,,2118.500,-11.500,69.40,57.00,THN to THK,,,Faceted,NONE,,,,,NONE,BT1,WT1,TO0,CO0,,GIA 5323989146,"GIA Color Is:-yellow, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/196-18A/still.jpg,https://srd.world/vision360/vision360.html?d=196-18A&s=0,,,,NO BGM,,,,,,,,,,,,,,
221-482A,G,RBC,0.46,M,,,,VS1,VG,EX,VG,N,N,4.86*4.80*3.11,4.86,4.80,3.11,GIA,1353143381,,578.500,55.500,64.40,57.00,MED to THK,,5.00,Faceted,NONE,,16.50,37.00,43.00,NONE,BT0,WT0,TO0,CO1,40.80,GIA 1353143381,"GIA Color Is:-O, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/Vision360/NoMedia/noimage.jpg,https://srd.world/vision360/NoMedia/novideo.pdf,,,EYE CLEAN YES,NO BGM,,,,,,,,,,50,80,,,
217-118A,G,CU,2.01,M,Orangy Yellow,Fancy Deep,Brownish ,SI2,EX,EX,VG,F,N,6.97*6.81*4.70,6.97,6.81,4.70,GIA,2347481937,,1536.000,52.000,69.00,58.00,THK to ETK,,,Faceted,NONE,,,,,NONE,BT1,WT1,TO2,CO0,,GIA 2347481937,"GIA Color Is:-Orangy Yellow, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/217-118A/still.jpg,https://srd.world/vision360/vision360.html?d=217-118A&s=0,,,EYE CLEAN NO,BROWN 3,,,,,,,,,,,,,,
215-221A,G,PB,0.31,F,,,,SI2,VG,EX,G,N,N,5.83*3.77*2.35,5.83,3.77,2.35,GIA,1345484609,,653.250,49.750,62.40,63.00,THN to VTK,,,Faceted,NONE,,,,,NONE,BT0,WT0,TO0,CO0,,GIA 1345484609,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/215-221A/still.jpg,https://srd.world/vision360/vision360.html?d=215-221A&s=0,,,EYE CLEAN YES,NO BGM,,,,,,,,,,,,,,
DSSRD-5,G,RBC,1.00,D,,,,SI2,VG,EX,G,N,,6.39*6.29*3.93,6.39,6.29,3.93,IGI,432026626,,3120.000,52.000,61.90,56.00,Slightly Thick To Thick (Faceted) ,,,0,0,,14.00,32.10,43.00,NONE,BT0,WT2,TO0,CO2,40.70,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,,,,,MEDIUM,NO BGM,,,,,,,,,,0,0,,,
